!! # Radio information (in parts):
Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
34, PI3GRN,145.75,-,0.6,Tone,82.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
35, PI2NMG,145.75,-,0.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
36, PI3RAZ,145.75,-,0.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
37, PI3GOE,145.775,-,0.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
38, PI3HVN,430.025,+,1.6,Tone,82.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
39, PI2ZLD  T,430.075,+,1.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
40, PI2FRL,430.1,+,1.6,Tone,82.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
41, PI2EHV,430.1,+,1.6,Tone,71.9,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
42, PI2SHB,430.175,+,1.6,Tone,71.9,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
43, PI2APD,430.15,+,1.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
44, PI2KMP,430.175,+,1.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
45, PI2NLB,430.2,+,1.6,Tone,71.9,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
46, PI2TWE  T,430.225,+,1.6,,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
47, PI3TWE,145.6,-,0.6,Tone,77,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
48, PI2GRO,430.2375,+,1.6,Tone,82.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
49, PI3ALK,145.6,-,0.6,Tone,88.5,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
50, PI2KAR,430.2875,+,7.6,Tone,71.9,88.5,23,NN,23,Tone->Tone,FM,25,,5.0W,,,,,
